supplierId,supplierName,supplierEmail,supplierSharePrice
29236,Amanda Garcia,vpeterson@example.com,4171.83
26903,Jessica Reed,jjames@example.org,8271.88
27354,Steven Brown,ujohnson@example.org,3368.62
26016,Steven Zavala,stonerobert@example.net,6343.11
20245,Brandon Rivera,davidstone@example.org,3835.13
32968,James Jackson,oellis@example.org,1125.62
14186,Brenda Walters,sarahsmith@example.com,1736.88
25856,Kevin Taylor,nbrown@example.com,1500.55
32992,Edward Anderson,smithmaria@example.net,5692.62
28664,Jessica Lamb,brownbenjamin@example.net,2365.89
26137,Kayla Martin,kevin20@example.org,2254.17
26890,Anita Singh,lisajoseph@example.com,4470.6
38340,Thomas Barron,alexistaylor@example.com,9561.25
36775,Rachel Jenkins,rosalesjohn@example.com,4146.34
37111,Teresa Salazar,gjohnson@example.org,4396.26
4205,Jennifer Todd,andrewroberts@example.org,5782.22
34429,Daniel Thomas,olucero@example.com,8717.37
46526,Mr. Anthony Schultz,xwhitney@example.com,4553.29
16974,Thomas Griffith,aaron60@example.net,3290.87
49460,Nicole Wagner,judithhendricks@example.org,1700.6
24930,Kyle Dudley,hutchinsonsarah@example.net,8670.4
24094,Billy Henderson,alexanderross@example.com,688.12
24621,Michelle Floyd DVM,butleramanda@example.org,7654.86
40984,Mark Kelly,lburton@example.org,8625.11
32760,Phillip Harvey,dodsonrobert@example.com,3052.47
23047,Angela Knight,wendy83@example.net,1223.72
39502,Melissa Boone,powellmegan@example.org,5499.34
31793,Jill Burke,michael41@example.com,4713.57
50595,Christopher Casey,mmorgan@example.org,5797.83
10480,Jesse Mccullough,garnerbernard@example.com,8951.46
47973,Timothy Lawson,mfigueroa@example.org,5667.64
48292,Julie Adams,jason94@example.org,2753.03
39487,Jessica Hull,pricedavid@example.net,564.14
50422,Jamie Anderson,brandon49@example.net,4140.33
11942,Jeremy Williams,martinezrobert@example.org,6439.02
34956,Misty Williams,manuelsandoval@example.com,9804.82
8015,Brian Gardner,andrewparker@example.net,6003.24
6584,Wanda Newman,dakota68@example.net,4213.49
43941,Dwayne Fleming,jenningsmatthew@example.net,6107.34
42778,Caroline Moore MD,carlosgibson@example.com,7513.88
31768,Chad Benson,wendy01@example.org,1315.17
8333,Jacqueline Jones,phillipsmelanie@example.org,9784.93
33398,Cheyenne Conley,patricia38@example.net,4478.96
30739,Jason Hardin,brandon37@example.com,7118.99
49373,Jasmine Simmons,obaker@example.com,9691.75
38502,Emily Perry,clarkkyle@example.net,2946.69
36470,Heather Taylor,paula29@example.net,9085.07
14908,Laura Cox,hgregory@example.org,6841.4
9742,Caitlin Kelly,lorirosales@example.org,2265.71
25231,Alexander Butler,jnicholson@example.com,9933.5
33584,Sarah Williams,diane04@example.net,2489.13
30257,Kristina Mcintosh,tbarber@example.net,433.6
45097,Christine Fletcher,dyoung@example.org,481.73
34448,Erik Marsh,christinalewis@example.com,8899.58
28806,Mrs. Lindsey Macdonald,saranelson@example.org,1617.85
10889,Jacqueline Robbins,wbryan@example.net,252.26
17891,Lindsey Jennings,brewertammy@example.org,862.7
47979,William Horne,robinsonphillip@example.com,6304.58
19809,Taylor Hensley,kimberly51@example.net,1304.48
23969,Jennifer Thompson,jack88@example.net,1160.54
28707,Eugene Garcia,jerry86@example.com,4774.48
50485,Richard Williams,heather88@example.com,5804.13
27389,Lisa Miles,stonesharon@example.net,7476.73
4940,Timothy Castro,alvaradobernard@example.org,7358.2
1303,Theresa Spears,lemark@example.net,6957.39
37253,John Rice,rhonda20@example.org,7994.06
1320,John King,riceandrea@example.org,1669.98
14795,Jeremy Dunn,ramoskelsey@example.net,6388.31
32459,Lisa Franco,michaeljenkins@example.com,5888.49
14625,Margaret Blake,justinfigueroa@example.com,8458.09
11264,Tara Murphy,urodriguez@example.org,1981.3
26755,Renee Galloway,wadams@example.net,8422.74
17579,Breanna Rivera MD,otaylor@example.net,4358.71
3442,Taylor Cortez,xbrown@example.net,8012.17
3814,Todd Parks,morenojohn@example.com,8354.91
